Name of location,Number of films in this location,latitude,longitude,Names of films
"Sedona, Arizona, USA",1,34.86597000000006,-111.76380999999998,Northern
"Kolkata, West Bengal, India",1,22.57054000000005,88.37124000000006,Masala Chai
"Bristol, Tennessee, USA",1,36.59218000000004,-82.22128999999995,Write of Passage: An Author's Journey
"New York City, New York, USA",8,40.71455000000003,-74.00713999999994,"Mary Beth's Sex Tape<br>The Counterfeiter<br>""The Chief""<br>Breaking Point<br>Fabienne Verdier Moving with the World<br>The Septem<br>Renewal in Sunset Park<br>The Promise of Perfume"
"Tarapoto, Peru",1,-6.4831799999999475,-76.36836999999997,The Tunche
"County Donegal, Ireland",1,54.92244894400005,-7.905826632999947,Penance: Aithri
"Branford, Connecticut, USA",1,41.28260000000006,-72.81229999999994,Romance at Reindeer Lodge
"4962 OH-43, Kent, Ohio, USA",1,41.12466352400603,-81.34780355358153,How to Be a Rockstar: The Wasteful Consumption Patterns Story
"Bell Labs, Holmdel, New Jersey, USA",1,40.342820000000074,-74.16768999999994,Lunch Thief
"Goshen, Connecticut, USA",1,41.83089000000007,-73.23129999999998,Is it a Crime
"Blekinge, Sweden",1,56.27965380300003,15.198742055000025,Jordgubbslandet
Ukraine,1,49.02689837500003,31.374926053000024,Dirt
"Krasnoyarsk, Krasnoyarsk Krai, Russia",1,56.014680000000055,92.87089000000003,Flutter Green: The Second Joke on April Fools Day
"London, England, UK",5,51.50642000000005,-0.1272099999999341,"Finding Your Feet<br>Resist<br>Ten Fifty<br>Expressions of Glee: Producing Gilbert & Sullivan in the 21st Century<br>""The Fridge: Una brutta WebSerie"""
"The Hague, The Netherlands",1,52.08399000000003,4.3174000000000206,Monument van Trots
"Adams, Tennessee, USA",1,36.58483000000007,-87.06981999999994,The Plot
"Paris, France",2,48.857210000000066,2.341440000000034,Zoo<br>Soul Guys
"Rue Victor-Considrant, Paris 14, Paris, France",1,48.83521575009822,2.331250405973326,Le Redoutable
"St Nicholas Park, Warwick, Warwickshire, England, UK",1,52.28088000000008,-1.5813999999999737,Hanging in There
"The Avenue Theatre, Sittingbourne, Kent, England, UK",1,51.33799000000005,0.7345000000000255,The Sliver of Truth
"Satara, Maharashtra, India",1,17.68333000000007,73.98333000000008,"""The Test Case"""
"Utica, Michigan, USA",1,42.62600000000003,-83.03565999999995,Fully in the Bag: Ghostbusters 2016
"La Crescenta Motel - 2413 Foothill Boulevard, La Crescenta, California, USA",1,34.21928007718264,-118.23177996667447,All Wolves Die Alone
"Pasadena, California, USA",1,34.14745000000005,-118.14426999999995,It Happened One Valentine's
"Los Angeles, California, USA",7,34.05349000000007,-118.24531999999999,A Part<br>Off the Card<br>Bedbugs<br>Fortune's 500<br>Ultimate Goal<br>Let Go<br>Hollow Body
"Wellington, New Zealand",1,-41.08711832299997,175.47911850800006,Scum
"17548 VENTURA BLVD ENCINO, CA 91316",1,34.16165933961637,-118.51578142818818,Welcome to Domingo's
"Yonkers, New York, USA",1,40.932990000000075,-73.89873999999998,"""The Sinner"""
"The SSE Hydro, Exhibition Way, Glasgow, Scotland, UK",1,55.859210053378156,-4.285180025535166,UFC Fight Night: Nelson vs. Ponzinibbio
"Zona Colonial, Santo Domingo, Dominican Republic",1,18.47162000000003,-69.88652999999994,Las siete muertes
"Brooklyn, New York, USA",2,40.692450000000065,-73.99035999999995,The Killer Unicorn<br>Crimson Love
"Ftima, Portugal",1,39.631800000000055,-8.680489999999963,Jacinta
"Bangor, Maine, USA",1,44.80171000000007,-68.77076999999997,Unearthed & Untold: The Path to Pet Sematary
"Rincn de la Victoria, Mlaga, Andaluca, Spain",1,36.71464000000003,-4.28082999999998,El ltimo unicornio
"East Lyme High School, East Lyme, Connecticut, USA",1,41.36879000000005,-72.21248999999995,Stalker's Prey
"La Rochelle, Charente-Maritime, France",1,46.15943000000004,-1.1516399999999294,"""La Grande Traverse"""
"Westchester, New York, USA",1,40.84743000000003,-73.85575999999998,Stop Bullying Me!
"Provincetown, Massachusetts, USA",1,42.04934000000003,-70.18869999999998,The Crest
"Utah, USA",1,39.32372519300003,-111.67824839099995,Enter the Fringe
USA,1,39.39870315600007,-99.41461918999994,Commando
"North Hollywood, California, USA",2,34.16982000000007,-118.37898999999999,Double Negatives<br>Christmas Crime Story
"Byron, Michigan, USA",1,42.82340000000005,-83.94436999999994,Flint... Unleaded?
"Toronto, Ontario, Canada",3,43.648690000000045,-79.38543999999996,"""On Film""<br>""#VitalSignz""<br>""The Indian Detective"""
"New Mexico, USA",1,34.42132653400006,-106.10840384499994,White Room
Italy,2,42.833330000000046,12.833330000000046,Dangerous Lies Vol. 3<br>Spiderboy
"Naples, Campania, Italy",1,40.840140000000076,14.252260000000035,Maradonapoli
"Raymond James Stadium - 4201 N. Dale Mabry Highway, Tampa, Florida, USA",1,27.977730000000065,-82.50529999999998,2017 Outback Bowl
Australia,2,-25.70993156999998,134.48403119800003,Wassanaye Sanda<br>Tolerance Is Not Enough
Czech Republic,1,49.738854038000056,15.331770280000057,The Zookeeper's Wife
"Fachhochschule Kiel, Kiel, Schleswig-Holstein, Germany",1,54.33369000000005,10.180890000000034,Schlsselerlebnis
"England, UK",1,52.59274252100005,-1.4586262249999322,Infringement
"Leicester, Leicestershire, England, UK",1,52.63796000000008,-1.1404199999999491,Worried
